boldog;Boldogság nem csupán abban rejlik, hogy kikerüljük az esőt, hanem abban is, hogy megtanuljuk táncolni az esőben.
boldog;A boldogság nem cél, hanem életmód.
boldog;A boldogság olyan, mint a csók: annál élvezetesebb, minél többet adsz belőle.
boldog;A boldogság az egyetlen dolog a világon, amit másoknak is adhatsz, anélkül hogy magadnak csökkenne.
boldog;A boldogság nem a tulajdonunkban van, hanem a gondolkodásunkban.
boldog;Boldogság: amikor amit gondolsz, amit mondasz, és amit teszel, az mind ugyanaz.
boldog;A boldogság a kis dolgokban rejlik.
boldog;A legnagyobb boldogságok azok, amiket megosztunk másokkal.
boldog;A boldogság mindig azokhoz a pillanatokhoz kötődik, amikor az idő megáll.
boldog;A boldogság olyan, mint egy virág: ha gondozod, szépül, és illatos lesz az életed.
szomorú;A szomorúság az élet színterén egy hűvös, esős nap, amikor a szívünkre borulnak a felhők.
szomorú;Az élet egy olyan zongora, amelyen néha szomorú dallamok születnek, de ezek is hozzájárulnak a zene szépségéhez.
szomorú;Néha az eső az egyetlen társ, amikor a lelkünk is sírni vágyik, és az égbolt a könnycseppek tükre lesz.
szomorú;A szomorúság olyan mint az őszi levél, lassan lehullik, halkan száll, de mindig hagy nyomot maga után.
szomorú;A szomorúság egy sötét éjszaka, amikor az emlékek csillagai sem képesek eloszlatni a sötétséget.
szomorú;Az élet néha olyan, mint egy szomorú szonáta, ahol minden hangja egy-egy fájó emléket idéz fel.
szomorú;A szomorúság mint a fájdalomnak az árnyéka, mindig hűségét mutatja az érzéseinknek.
szomorú;A szomorúság egy csendes utazás a magány mély völgyében, ahol csak a saját lépéseink hallatszanak.
szomorú;A szomorúság mint az őszi szél, halkan susogva hozza el az emlékek hűvös fuvallatát.
szomorú;A szomorúság mint az esőcsepp, néha halkan, néha zajosan üt az ablaküvegen, de mindig beengedi a melankólia szürke ködét.
mérges;Az harag olyan, mint a vulkán kitörése – elpusztít mindent az útjában, de hűvös idő után újra találkozhatunk a virágokkal a lábunk alatt.
